symbol,lastClose,marketCap,companyName,exchange,c,o,vwap
ANGO,9.32,378457065.0042194,ANGIODYNAMICS INC,NASDAQ,9.32,9.39,9.32
ENR,22.74,1641662939.5859342,ENERGIZER HOLDINGS INC,NYSE,22.74,22.46,22.74
GBAB,15.25,410530000.0,GUGGENHEIM TAXABLE MUNICIPAL,NYSE,15.25,15.27,15.25
GCAAF,31.45,1048096665.9999999,GUARDIAN CAP GRP LTD-CL A,OTC,31.45,31.45,31.45
GRRMF,53.5501,1744270046.0,GERRESHEIMER AG,OTC,53.5501,53.5501,53.5501
FBNC,46.8,1938463547.3938878,FIRST BANCORP/NC,NASDAQ,46.8,46.73,46.8
OSW,21.35,2192586046.4516134,ONESPAWORLD HOLDINGS LTD,NASDAQ,21.35,21.55,21.35
CHSCL,25.46,341528533.0,CHS INC - CHSINC 7 1/2 PERP,NASDAQ,25.46,25.51,25.46
BCUCY,12.66,7425599792.0,BRUNELLO CUCINELLI-UNSP ADR,OTC,12.66,13.27,12.66
RDW,16.64,2372459317.3265176,REDWIRE CORP,NYSE,16.64,15.72,16.64
CCSI,21.24,415049523.4556628,CONSENSUS CLOUD SOLUTION,NASDAQ,21.24,22.64,21.24
LYSDY,6.43,7754854760.0,LYNAS RARE EARTHS LTD-SP ADR,OTC,6.43,6.5,6.43
PRTC,17.8012,317616397.0,PURETECH HEALTH PLC - ADR,NASDAQ,17.8012,17.8012,17.8012
EZPW,14.19,780645367.1396526,EZCORP INC-CL A,NASDAQ,14.19,13.84,14.19
GGGSY,8.13,1771652689.0,GREGGS PLC-UNSPONSORED ADR,OTC,8.13,8.36,8.13
ASA,32.55,604020000.0,ASA GOLD AND PRECIOUS METALS,NYSE,32.55,32.03,32.55
SPNS,29.51,1649232054.7377543,SAPIENS INTERNATIONAL CORP,NASDAQ,29.51,29.69,29.51
TBN,19.01,317795663.89,TAMBORAN RESOURCES CORP,NYSE,19.01,19.41,19.01
ATKR,74.97,2522860779.839921,ATKORE INC,NYSE,74.97,74.9,74.97
BDJ,8.9,1580120000.0,BLACKROCK ENHANCED EQTY DVD,NYSE,8.9,8.95,8.9
FPH,6.01,647593636.4519868,FIVE POINT HOLDINGS LLC-CL A,NYSE,6.01,6.04,6.01
HL.PRB,50.61,3997799538.8115454,HECLA MINING CO - HL 7 PERP,NYSE,50.61,51.24,50.61
GNL.PRA,22.52,1696386404.0,GLOBAL NET LEASE INC - GNL 7 1/4 PERP,NYSE,22.52,22.87,22.52
LWAY,25.07,381145266.75219125,LIFEWAY FOODS INC,NASDAQ,25.07,25.11,25.07
CHW,7.13,457270000.0,CALAMOS GLOBAL DYNAMIC INCOM,NASDAQ,7.13,7.17,7.13
DBRG.PRI,20.99,2041858675.0,DIGITALBRIDGE GROUP INC - DBRG 7.15 PERP,NYSE,20.99,20.8474,20.99
HQL,13.08,382560000.0,ABRDN LIFE SCIENCES INVESTOR,NYSE,13.08,13.3,13.08
KTOS,51.71,8606113943.315754,KRATOS DEFENSE & SECURITY,NASDAQ,51.71,48.25,51.71
AQN,5.82,6119607021.0,ALGONQUIN POWER & UTILITIES,NYSE,5.82,5.8,5.82
OXLCO,23.22,1876180000.0,OXFORD LANE CAPITAL CORP - OXLC 6 08/31/29,NASDAQ,23.22,23.25,23.22
MCRI,86.64,1599929399.427676,MONARCH CASINO & RESORT INC,NASDAQ,86.64,89.11,86.64
REX,54.68,900517224.7436038,REX AMERICAN RESOURCES CORP,NYSE,54.68,54.19,54.68
PRGS,49.62,2139036243.7120848,PROGRESS SOFTWARE CORP,NASDAQ,49.62,50.39,49.62
AHH.PRA,21.81,713481714.0,ARMADA HOFFLER PROPERTIE - AHH 6 3/4 PERP,NYSE,21.81,21.9111,21.81
FRBA,15.82,397626277.3345679,FIRST BANK/HAMILTON NJ,NASDAQ,15.82,16.04,15.82
HIW,31.46,3374471945.0,HIGHWOODS PROPERTIES INC,NYSE,31.46,31.17,31.46
MLTX,49.0,3145975224.120294,MOONLAKE IMMUNOTHERAPEUTICS,NASDAQ,49.0,48.71,49.0
PDI,18.98,7260060000.0,PIMCO DYNAMIC INCOME FUND,NYSE,18.98,18.97,18.98
POET,7.17,606496524.1598746,POET TECHNOLOGIES INC,NASDAQ,7.17,6.9,7.17
ECG,68.81,3509280935.0810814,EVERUS CONSTRUCTION GROUP,NYSE,68.81,68.25,68.81
